"Abmeldepha
se";"Modulnumm
er BWL";"Modulnumm
er VWL";"Modulnumm
er WI";"Modulnumm
er PuW,
WuR";"Modulnumm
er Ökön.";Modulbezeichnungen;Prüfung;Prüfer:in;2. Prüfer:in;Dauer (Min.);Klausurtyp;"Klausur
(JA/NEIN)";"Weitere
Modulleistung
(Freitext)";"Anmeldung
vorgezogen
(JA/NEIN)";"Termin
vorgezogen
(JA/NEIN)";Tag;Datum;Beginn;Ende
"Tag vor der
Prüfung";BWL 15;BWL 15;VM BWL;;;"Vertiefung Marketing
(besteht aus den Prüfungen Digital Transformation
and Changing Markets- 3 LP und Entrepreneurial
Marketing - 3 LP)";"Digital Transformation and Changing
Markets (3 LP)
(ersetzt Veranstaltung Services
Marketing)";Prof. Hohenberg;Prof. Backmann;60;Standard;JA;;JA;JA;Donnerstag;19122024;13:30;14:30:00
"Tag vor der
Prüfung";;;WI 5;;;Digital Work & Project Management;Digital Work & Project Management;Jun.-Prof. Berger;Dr. Vogl;120;Standard;JA;"Schriftliche
Ausarbeitung,
Präsentation";JA;JA;Samstag;30112024;8:00;10:00:00
"Tag vor der
Prüfung";;VWL 01;BWL 01;;;"Einführung in die Wirtschaftswissenschaften;
Einführung in die Betriebswirtschaftslehre, Investition
und Finanzierung";Einführung in die BWL;Dr. Philipp Klein;Prof. Schneider;60;Standard;JA;;JA;ja;Mittwoch;18122024;10:00;11:00:00
"Tag vor der
Prüfung";BWL 01;;;;;Grundlagen der Betriebswirtschaftslehre;"Einführung in die BWL; Investition und
Finanzierung (BWL 01 - PO 18)";Prof. Schneider;Prof. Branger;120;Standard;JA;;JA;JA;Mittwoch;18122024;10:00;12:00:00
"Tag vor der
Prüfung";TRV 1;WPV 15;;WPM W 23;;Ausgewählte Kapitel der Mikroökonomik;Einführung in die Umweltökonomik;Prof. Gretschko;Dr. Lingens;60;Standard;JA;;JA;JA;Samstag;14122024;11:00;12:00:00
"Tag vor der
Prüfung";VWL 01;VWL 01;;;;"Einführung in die VWL & Mikroökonomik (BWL)/
Einführung in die Wirtschaftswissenschaften (VWL),
Mikroökonomik I";Einführung in die VWL;Prof. Riedel;Prof. Watzinger;60;Standard;JA;;JA;JA;Dienstag;17122024;16:30;17:30:00
"Tag vor der
Prüfung";TRV 12;"QMS 04,
QR 04";;PM SF 02;WPM 14;Empirische Wirtschaftsforschung;Empirische Wirtschaftsforschung;Prof. Wilfling;Prof. Trede;90;Standard;JA;;JA;JA;Dienstag;17122024;8:00;09:30:00
"Tag vor der
Prüfung";"VWL 10
TRV 13";"VWL 10
WPV 01";;WPM W 22;WPM W 22;Energieökonomik;Energieökonomik;Prof. Gretschko;Dr. Lingens;60;Standard;JA;;JA;JA;Mittwoch;18122024;13:00;14:00:00
"Tag vor der
Prüfung";BWL 15;BWL 15;VM BWL;;;"Vertiefung Marketing
(besteht aus den Prüfungen Digital Transformation
and Changing Markets- 3 LP und Entrepreneurial
Marketing - 3 LP)";Entrepreneurial Marketing (PO 18 - 3 LP -Modulteilprüfung);Prof. Wiesel;Prof. Krafft;60;LPLUS;JA;;JA;JA;Mittwoch;18122024;8:00;
"Tag vor der
Prüfung";TRB 03;WPB 06;VM BWL;;;Entrepreneurial Marketing;Entrepreneurial Marketing (PO 22 - 6 LP);Prof. Wiesel;Prof. Krafft;90;LPLUS;JA;;JA;JA;Mittwoch;18122024;8:00;
